# wl,n
0.2040,1.8821836471286
0.2237,1.8193078871885
0.2434,1.779940602095
0.2630,1.7533031503554
0.2827,1.7340479979352
0.3024,1.719634341239
0.3221,1.7085002065634
0.3418,1.6996817699674
0.3614,1.69258596033
0.3811,1.6867186605698
0.4008,1.6818236175719
0.4205,1.6776878706847
0.4402,1.6741547183318
0.4598,1.6711209054878
0.4795,1.6684658783781
0.4992,1.6661363845295
0.5189,1.6640774485118
0.5386,1.6622452871135
0.5582,1.660612541524
0.5779,1.6591339898347
0.5976,1.6577948750773
0.6173,1.6565757175778
0.6370,1.6554602806596
0.6566,1.6544399341299
0.6763,1.6534927991483
0.6960,1.6526145106073
0.7157,1.651796704766
0.7354,1.6510321989171
0.7550,1.6503183269358
0.7747,1.6496424525474
0.7944,1.649003652464
0.8141,1.6483978363501
0.8338,1.6478214159234
0.8534,1.647273963493
0.8731,1.6467471131565
0.8928,1.6462412476251
0.9125,1.6457541673351
0.9322,1.6452839114451
0.9518,1.6448310023098
0.9715,1.6443892535055
0.9912,1.6439596001106
1.011,1.6435386693148
1.031,1.6431233987039
1.050,1.6427371316359
1.070,1.6423382629165
1.090,1.6419464394809
1.109,1.6415799890776
1.129,1.6411996237883
1.149,1.6408240987816
1.168,1.6404712649872
1.188,1.6401034332813
1.208,1.6397387483533
1.227,1.6393947710808
1.247,1.6390348650958
1.267,1.6386767846709
1.286,1.6383379514129
1.306,1.6379823595634
1.326,1.637627547348
1.345,1.63729091994
1.365,1.6369367706442
1.385,1.6365825615127
1.404,1.636245782315
1.424,1.6358907611744
1.444,1.6355349975135
1.464,1.6351782887537
1.483,1.6348383668743
1.503,1.634479279325
1.523,1.6341187186926
1.542,1.6337746772126
1.562,1.6334107965194
1.582,1.6330450006018
1.601,1.6326955985439
1.621,1.6323256895415
1.641,1.6319534905119
1.660,1.6315976760576
1.680,1.6312206876378
1.700,1.6308410875919
1.719,1.6304779583529
1.739,1.6300929851184
1.759,1.6297051209504
1.778,1.6293338933044
1.798,1.6289401458715
1.818,1.6285432619814
1.837,1.6281632471673
1.857,1.627760028942
1.877,1.6273534558219
1.896,1.6269640411284
1.916,1.6265507299752
1.936,1.6261338672579
1.956,1.6257133904697
1.975,1.6253105347318
1.995,1.6248828376524
2.015,1.6244513524609
2.034,1.6240378818665
2.054,1.6235988503599
2.074,1.6231558697551
2.093,1.6227313328747
2.113,1.6222805027241
2.133,1.6218255729274
2.152,1.6213895476318
2.172,1.6209264832239
